3.720000000000000000e+02;2.520000000000000000e+02
4.140000000000000000e+02;1.615000000000000000e+03
9.480000000000000000e+02;1.597000000000000000e+03
9.780000000000000000e+02;2.220000000000000000e+02
1.416000000000000000e+03;1.495000000000000000e+03
1.686000000000000000e+03;2.520000000000000000e+02
1.920000000000000000e+03;1.471000000000000000e+03
1.980000000000000000e+03;6.480000000000000000e+02
2.076000000000000000e+03;1.093000000000000000e+03
2.220000000000000000e+03;7.380000000000000000e+02
2.268000000000000000e+03;9.300000000000000000e+02
2.418000000000000000e+03;7.740000000000000000e+02
2.526000000000000000e+03;9.300000000000000000e+02
2.754000000000000000e+03;8.520000000000000000e+02
1.140000000000000000e+02;8.760000000000000000e+02
